연번,요일구분,호선,역번호,출발역,상하구분,시간대,혼잡도,시간_숫자
1121,일요일,1,155,동대문,상선,00:00,8.9,0
1121,일요일,1,155,동대문,상선,00:30,0.0,30
1121,일요일,1,155,동대문,상선,05:30,3.9,530
1121,일요일,1,155,동대문,상선,06:00,6.0,600
1121,일요일,1,155,동대문,상선,06:30,6.5,630
1121,일요일,1,155,동대문,상선,07:00,7.5,700
1121,일요일,1,155,동대문,상선,07:30,8.5,730
1121,일요일,1,155,동대문,상선,08:00,13.3,800
1121,일요일,1,155,동대문,상선,08:30,14.7,830
1121,일요일,1,155,동대문,상선,09:00,17.0,900
1121,일요일,1,155,동대문,상선,09:30,17.3,930
1121,일요일,1,155,동대문,상선,10:00,21.3,1000
1121,일요일,1,155,동대문,상선,10:30,19.5,1030
1121,일요일,1,155,동대문,상선,11:00,23.6,1100
1121,일요일,1,155,동대문,상선,11:30,25.4,1130
1121,일요일,1,155,동대문,상선,12:00,27.9,1200
1121,일요일,1,155,동대문,상선,12:30,32.6,1230
1121,일요일,1,155,동대문,상선,13:00,33.5,1300
1121,일요일,1,155,동대문,상선,13:30,32.3,1330
1121,일요일,1,155,동대문,상선,14:00,31.7,1400
1121,일요일,1,155,동대문,상선,14:30,30.2,1430
1121,일요일,1,155,동대문,상선,15:00,35.5,1500
1121,일요일,1,155,동대문,상선,15:30,28.1,1530
1121,일요일,1,155,동대문,상선,16:00,31.2,1600
1121,일요일,1,155,동대문,상선,16:30,29.5,1630
1121,일요일,1,155,동대문,상선,17:00,27.9,1700
1121,일요일,1,155,동대문,상선,17:30,26.4,1730
1121,일요일,1,155,동대문,상선,18:00,33.7,1800
1121,일요일,1,155,동대문,상선,18:30,24.1,1830
1121,일요일,1,155,동대문,상선,19:00,22.1,1900
1121,일요일,1,155,동대문,상선,19:30,24.0,1930
1121,일요일,1,155,동대문,상선,20:00,23.0,2000
1121,일요일,1,155,동대문,상선,20:30,21.7,2030
1121,일요일,1,155,동대문,상선,21:00,24.8,2100
1121,일요일,1,155,동대문,상선,21:30,25.0,2130
1121,일요일,1,155,동대문,상선,22:00,20.3,2200
1121,일요일,1,155,동대문,상선,22:30,20.6,2230
1121,일요일,1,155,동대문,상선,23:00,15.4,2300
1121,일요일,1,155,동대문,상선,23:30,16.7,2330
565,토요일,1,155,동대문,상선,00:00,11.9,0
565,토요일,1,155,동대문,상선,00:30,0.0,30
565,토요일,1,155,동대문,상선,05:30,9.3,530
565,토요일,1,155,동대문,상선,06:00,11.2,600
565,토요일,1,155,동대문,상선,06:30,10.3,630
565,토요일,1,155,동대문,상선,07:00,11.1,700
565,토요일,1,155,동대문,상선,07:30,12.3,730
