날짜,호선,역명,역명_정규화,요일,카테고리,승차,하차,승하차합계,평균_승차,평균_하차,평균_승하차합계,상승률_%,상승여부
2023-01-02,4호선,삼각지,삼각지,Monday,시위,5290,6233,11523,5873.513333,6514.193333,12387.70667,-6.98,감소
2023-01-02,4호선,혜화,혜화,Monday,시위,29481,29459,58940,32751.31915,32747.31206,65498.63121,-10.01,감소
2023-01-03,2호선,강남,강남,Tuesday,시위,86527,83225,169752,85227.27333,82783.72667,168011,1.04,증가
2023-01-03,2호선,동대문사문화공원,동대문역사문화공원,Tuesday,시위,13180,14894,28074,14588.73333,16676.32667,31265.06,-10.21,감소
2023-01-03,4호선,동대문,동대문,Tuesday,시위,19592,20200,39792,20746.04667,21262.91333,42008.96,-5.28,감소
2023-01-03,4호선,동대문사문화공원,동대문역사문화공원,Tuesday,시위,17095,15039,32134,19263.27333,17014.63333,36277.90667,-11.42,감소
2023-01-03,4호선,삼각지,삼각지,Tuesday,시위,5666,6124,11790,6361.54,7155.513333,13517.05333,-12.78,감소
2023-01-03,4호선,성신여대입구,성신여대입구,Tuesday,시위,19330,18968,38298,22952.47333,22154.33333,45106.80667,-15.09,감소
2023-01-03,5호선,동대문사문화공원,동대문역사문화공원,Tuesday,시위,3376,3934,7310,3444.206667,3920.26,7364.466667,-0.74,감소
2023-01-04,5호선,동대문사문화공원,동대문역사문화공원,Wednesday,시위,3492,3987,7479,3476.794702,3949.119205,7425.913907,0.71,증가
2023-01-04,4호선,혜화,혜화,Wednesday,시위,35053,34782,69835,39045.08276,38949.02759,77994.11034,-10.46,감소
2023-01-04,4호선,동대문사문화공원,동대문역사문화공원,Wednesday,시위,17490,15387,32877,19739.78146,17468.21854,37208,-11.64,감소
2023-01-04,2호선,동대문사문화공원,동대문역사문화공원,Wednesday,시위,13569,15439,29008,14983.58278,17203.7351,32187.31788,-9.88,감소
2023-01-05,4호선,혜화,혜화,Thursday,시위,34627,34467,69094,38490.95139,38497.58333,76988.53472,-10.25,감소
2023-01-07,5호선,올림픽공원,올림픽공원,Saturday,행사,4414,3979,8393,2739.166667,2440,5179.166667,62.05,증가
2023-01-08,5호선,올림픽공원,올림픽공원,Sunday,행사,3480,3252,6732,3374.333333,3357,6731.333333,0.01,증가
2023-01-10,4호선,혜화,혜화,Tuesday,시위,34316,34397,68713,36660.19444,36548.82639,73209.02083,-6.14,감소
2023-01-13,4호선,혜화,혜화,Friday,시위,36137,36095,72232,39891.46763,39756.85612,79648.32374,-9.31,감소
2023-01-14,4호선,삼각지,삼각지,Saturday,시위,5485,7082,12567,6082.993377,8023.662252,14106.65563,-10.91,감소
2023-01-14,5호선,올림픽공원,올림픽공원,Saturday,행사,4066,3845,7911,2739.166667,2440,5179.166667,52.75,증가
2023-01-15,5호선,올림픽공원,올림픽공원,Sunday,행사,2522,2325,4847,3374.333333,3357,6731.333333,-27.99,감소
2023-01-18,4호선,혜화,혜화,Wednesday,시위,37106,36397,73503,39045.08276,38949.02759,77994.11034,-5.76,감소
2023-01-19,4호선,혜화,혜화,Thursday,시위,35705,35212,70917,38490.95139,38497.58333,76988.53472,-7.89,감소
2023-01-19,5호선,올림픽공원,올림픽공원,Thursday,행사,5667,5700,11367,5183.440559,4403.132867,9586.573427,18.57,증가
2023-01-20,2호선,시청,시청,Friday,시위,25217,24358,49575,29834.02027,28301.56757,58135.58784,-14.73,감소
2023-01-20,4호선,삼각지,삼각지,Friday,시위,5803,6627,12430,7242.225166,8446.788079,15689.01325,-20.77,감소
2023-01-20,4호선,신용산,신용산,Friday,시위,17675,20192,37867,22386.31788,24193.18543,46579.50331,-18.7,감소
2023-01-25,4호선,혜화,혜화,Wednesday,시위,29801,29694,59495,39045.08276,38949.02759,77994.11034,-23.72,감소
2023-01-28,5호선,올림픽공원,올림픽공원,Saturday,행사,4222,4139,8361,2739.166667,2440,5179.166667,61.44,증가
2023-01-29,5호선,올림픽공원,올림픽공원,Sunday,행사,2569,2377,4946,3374.333333,3357,6731.333333,-26.52,감소
2023-02-01,4호선,혜화,혜화,Wednesday,시위,37268,36873,74141,39045.08276,38949.02759,77994.11034,-4.94,감소
2023-02-02,4호선,혜화,혜화,Thursday,시위,36316,36204,72520,38490.95139,38497.58333,76988.53472,-5.8,감소
2023-02-03,4호선,혜화,혜화,Friday,시위,37524,37707,75231,39891.46763,39756.85612,79648.32374,-5.55,감소
2023-02-04,5호선,올림픽공원,올림픽공원,Saturday,행사,3258,2983,6241,2739.166667,2440,5179.166667,20.5,증가
2023-02-05,5호선,올림픽공원,올림픽공원,Sunday,행사,2631,2469,5100,3374.333333,3357,6731.333333,-24.23,감소
2023-02-11,5호선,올림픽공원,올림픽공원,Saturday,행사,3730,3512,7242,2739.166667,2440,5179.166667,39.83,증가
