date,total_passengers,morning_rush,evening_rush,year,avg_temp,total_rainfall,max_rainfall,rain_hours,min_temp,max_temp,has_rain,temp_category,rainfall_category,day_of_week,weekday,is_weekend,month,season
2023-01-01,1948637,114186,250040,2023,-2.4,0.0,0.0,0,-6.9,3.2,0,추움,맑음,Sunday,6,1,1,겨울
2023-01-02,4322613,825778,876655,2023,-5.1,0.0,0.0,0,-8.8,-0.5,0,한파,맑음,Monday,0,0,1,겨울
2023-01-03,4549148,853974,894167,2023,-3.5,0.0,0.0,0,-5.5,0.0,0,추움,맑음,Tuesday,1,0,1,겨울
2023-01-04,4638285,851743,890986,2023,-1.7,0.0,0.0,0,-5.5,3.1,0,추움,맑음,Wednesday,2,0,1,겨울
2023-01-05,4692508,850295,880843,2023,-1.2,0.0,0.0,0,-4.6,3.4,0,추움,맑음,Thursday,3,0,1,겨울
2023-01-06,4886543,825815,909002,2023,2.5,4.0,2.4,3,-0.5,5.7,1,추움,약한비,Friday,4,0,1,겨울
2023-01-07,3323061,220706,390693,2023,-0.0,0.0,0.0,0,-3.6,3.6,0,추움,맑음,Saturday,5,1,1,겨울
2023-01-08,2389125,135935,297820,2023,3.5,0.0,0.0,0,-0.3,6.1,0,추움,맑음,Sunday,6,1,1,겨울
2023-01-09,4619157,854134,894679,2023,0.9,1.0,1.0,1,-3.7,6.7,1,추움,약한비,Monday,0,0,1,겨울
2023-01-10,4765956,866800,897140,2023,2.5,0.0,0.0,0,-1.9,8.8,0,추움,맑음,Tuesday,1,0,1,겨울
2023-01-11,4806034,857894,894540,2023,3.2,0.0,0.0,0,-0.4,8.9,0,추움,맑음,Wednesday,2,0,1,겨울
2023-01-12,4834150,854016,884387,2023,8.1,35.8,10.6,10,4.4,12.3,1,쾌적,강한비,Thursday,3,0,1,겨울
2023-01-13,4781205,816842,890379,2023,8.7,1.7,0.4,4,7.6,10.0,1,쾌적,약한비,Friday,4,0,1,겨울
2023-01-14,3358431,222570,390535,2023,4.7,4.1,1.0,9,0.7,8.0,1,추움,약한비,Saturday,5,1,1,겨울
2023-01-15,2370960,136062,299879,2023,-2.7,0.5,0.5,1,-6.6,0.3,1,추움,약한비,Sunday,6,1,1,겨울
2023-01-16,4684753,859362,898764,2023,-4.9,0.0,0.0,0,-6.9,-1.4,0,추움,맑음,Monday,0,0,1,겨울
2023-01-17,4775031,865632,891699,2023,-2.4,0.0,0.0,0,-4.5,-0.6,0,추움,맑음,Tuesday,1,0,1,겨울
2023-01-18,4849240,862235,902201,2023,-2.4,0.0,0.0,0,-5.8,1.9,0,추움,맑음,Wednesday,2,0,1,겨울
2023-01-19,4800851,853251,874216,2023,1.4,1.0,0.7,1,-3.9,4.2,1,추움,약한비,Thursday,3,0,1,겨울
2023-01-20,4529190,754450,613330,2023,-6.2,0.0,0.0,0,-10.3,-1.9,0,한파,맑음,Friday,4,0,1,겨울
