출발역,호선,클러스터
강남,2,1
강변,2,0
건대입구,2,0
교대,2,1
구로디지털단지,2,1
구의,2,0
까치산,2,2
낙성대,2,1
당산,2,1
대림,2,1
도림천,2,0
동대문역사문화공원,2,1
뚝섬,2,0
문래,2,1
방배,2,1
봉천,2,1
사당,2,1
삼성,2,0
상왕십리,2,1
서울대입구,2,1
서초,2,1
선릉,2,1
성수,2,2
성수E,2,2
시청,2,1
신답,2,2
신당,2,1
신대방,2,1
신도림,2,0
신림,2,1
신설동,2,2
신정네거리,2,2
신촌(지하),2,1
아현,2,1
양천구청,2,2
역삼,2,1
영등포구청,2,1
왕십리,2,1
용답,2,2
용두,2,2
을지로3가,2,1
을지로4가,2,1
을지로입구,2,1
이대,2,1
잠실,2,0
잠실나루,2,0
잠실새내,2,0
종합운동장,2,0
충정로,2,1
한양대,2,0
합정,2,1
홍대입구,2,1
길음,4,0
남태령,4,0
노원,4,1
당고개,4,1
동대문,4,0
동대문역사문화공원,4,0
동작,4,2
명동,4,0
미아,4,2
미아사거리,4,2
미아삼거리,4,0
사당,4,2
삼각지,4,2
상계,4,1
서울역,4,2
성신여대입구,4,0
수유,4,2
숙대입구,4,2
신용산,4,2
쌍문,4,2
이촌,4,2
창동,4,2
총신대입구,4,2
충무로,4,0
한성대입구,4,0
혜화,4,0
회현,4,0
강동(마천),5,1
강동(하남),5,0
강일,5,2
개롱,5,1
개화산,5,1
거여,5,1
고덕,5,0
공덕,5,2
광나루,5,0
광화문,5,2
군자,5,0
굽은다리,5,0
길동,5,0
김포공항,5,1
까치산,5,2
답십리,5,0
동대문역사문화공원,5,2
둔촌동,5,2
마곡,5,1
마장,5,0
마천,5,1
마포,5,2
명일,5,0
목동,5,2
미사,5,1
발산,5,1
방이,5,2
방화,5,1
상일동,5,2
서대문,5,2
송정,5,1
신금호,5,2
신길,5,2
신정,5,2
아차산,5,0
애오개,5,2
양평,5,0
여의나루,5,2
여의도,5,2
영등포구청,5,0
영등포시장,5,2
오금,5,1
오목교,5,0
올림픽공원(한국체대),5,2
왕십리,5,0
우장산,5,2
을지로4가,5,2
장한평,5,0
종로3가,5,2
천호,5,0
청구,5,2
충정로,5,2
하남검단산,5,1
하남시청,5,1
하남풍산,5,1
행당,5,2
화곡,5,2
